,child_mortality,disabled_total_by_age,poverty_percent_by_regions,welfare_expense_share,cash_real_income_wages,Number of children,Pensioners,Working-age population,feel uncomfortable while living,size of living space,population,gross_regional_product,regional_production,retail_turnover_per_capita,newborn_monthly,crimes,morbidity_age_disease,drug+alco,cluster
Чеченская Республика,253.16666666666666,1881876.25,19.266666666666666,27.316666666666666,23330.5,46.02499999999999,6.6499999999999995,47.324999999999996,18.2,19.2,1425327.1666666667,149513.86666666667,58690304.666666664,114256.33333333333,29996.479999999996,102.4,168402.3,4.25,0
Алтайский край,167.5,2067111.75,17.63333333333333,26.316666666666663,22480.833333333332,37.55,6.15,56.300000000000004,13.4,18.0,2354552.0,245133.8666666667,639206450.6633333,146700.83333333334,24840.16,2334.6000000000004,444722.80000000005,115.67500000000001,2
Омская область,149.5,1526403.25,14.033333333333331,26.149999999999995,25742.5,41.65,5.550000000000001,52.825,12.8,16.9,1960045.3333333333,363707.1166666667,1538414133.4616668,167185.83333333334,22640.995,1656.8,364395.85,43.75,2
Республика Ингушетия,64.66666666666667,647907.0,29.950000000000003,25.8,16064.166666666666,39.8,9.25,50.925,5.0,27.8,484940.0,129910.5,9098626.299999999,48744.833333333336,8195.664999999999,112.4,246287.40000000002,2.0500000000000003,3
Ставропольский край,229.0,2516924.25,14.266666666666667,25.683333333333334,22733.166666666668,39.099999999999994,4.475,56.4,14.1,19.0,2800823.8333333335,270442.3,635845935.155,176017.5,31900.819999999996,1924.2,274178.45,28.05,2
Ивановская область,44.666666666666664,947896.75,14.633333333333335,25.483333333333334,24567.833333333332,39.85,7.6,52.55,19.1,18.1,1017646.3333333334,222908.75,307271470.41333336,160505.16666666666,9578.333333333334,824.2,447998.75,93.875,1
Республика Дагестан,451.0,3525310.5,13.75,25.233333333333334,26623.333333333332,39.89999999999999,6.525,53.55,23.3,22.5,3051466.6666666665,215723.86666666667,110377021.80166668,194877.16666666666,49658.65666666667,978.0,267337.05,24.450000000000003,0
Саратовская область,125.5,1640865.5,15.966666666666667,25.116666666666664,21397.5,39.425,5.6,55.0,15.0,17.8,2464245.5,306036.0,882653022.1550001,142501.0,23451.491666666665,1743.4,358493.39999999997,68.7,2
Астраханская область,80.33333333333333,525728.5,15.333333333333334,25.099999999999998,23899.5,40.175,4.9,54.9,19.4,19.2,1016023.3333333334,467658.11666666664,595978983.0466666,170557.16666666666,12530.331666666667,1098.6,282559.8,24.65,0
Оренбургская область,136.66666666666666,2295485.0,14.216666666666667,25.0,23430.833333333332,42.849999999999994,5.25,51.875,16.3,19.0,1980503.8333333333,479661.93333333335,1441644462.3033333,153075.33333333334,23096.825,2457.6,366681.30000000005,109.57499999999999,2
Еврейская автономная область,22.0,152853.75,24.349999999999998,24.849999999999998,24975.5,34.125,9.65,56.225,13.1,13.8,163156.16666666666,332367.98333333334,35102334.428333335,148224.66666666666,1941.3333333333333,162.6,304103.85,177.925,0
Вологодская область,79.33333333333333,1174393.25,13.566666666666668,24.53333333333333,27058.5,39.325,5.575000000000001,55.074999999999996,9.6,16.9,1177900.3333333333,483895.9333333334,1148787540.3966665,154399.83333333334,13317.664999999999,1697.2,443423.0,63.974999999999994,3
Ульяновская область,69.66666666666667,1343686.0,15.033333333333333,24.316666666666666,23282.833333333332,35.575,4.9,59.525000000000006,11.3,17.9,1247985.8333333333,307631.25000000006,522555991.03000003,148080.66666666666,12568.998333333331,733.4,405631.45,127.1,3
Республика Карелия,37.166666666666664,748252.25,15.966666666666667,24.299999999999997,28694.333333333332,38.724999999999994,5.625,55.699999999999996,15.5,17.1,624015.8333333334,449922.0166666666,360434643.16166663,191365.5,6416.328333333332,1022.0,529488.4,113.07499999999999,1
Ростовская область,257.1666666666667,4256103.5,13.666666666666666,24.016666666666666,28582.5,40.375,4.925000000000001,54.7,12.8,18.2,4221671.333333333,351332.98333333334,1708080735.793333,214710.83333333334,43224.14833333332,3297.8,369937.8,40.3,2
Амурская область,52.5,791456.5,15.9,23.816666666666666,30861.5,38.2,5.625,56.175000000000004,16.8,17.3,799829.3333333334,433306.76666666666,257791299.06666663,211181.0,9208.166666666666,1199.0,393732.05,118.82499999999999,1
Волгоградская область,128.66666666666666,2102042.0,13.4,23.783333333333335,22899.0,39.425,6.225,54.3,13.9,17.9,2526392.8333333335,349898.0,1528929509.5083332,151094.83333333334,24543.986666666664,2268.2000000000003,303079.35,65.2,2
Курганская область,54.0,884716.5,19.45,23.683333333333334,20773.833333333332,39.525,4.0249999999999995,56.474999999999994,10.5,16.7,848870.5,253655.1,225389720.81166664,133322.83333333334,9256.331666666667,1240.3999999999999,420555.45,115.05000000000001,3
Брянская область,72.16666666666667,1290740.5,13.950000000000001,23.46666666666667,26015.5,41.375,3.875,54.775,4.6,24.1,1213811.8333333333,290776.2,404890068.0366667,201839.66666666666,11605.164999999999,846.0,377089.35,105.375,3
Кировская область,57.166666666666664,1485745.5,15.066666666666665,23.416666666666668,22453.333333333332,38.075,5.05,56.825,11.1,14.9,1285209.1666666667,266767.61666666664,451609995.74499995,148682.16666666666,13528.331666666665,1294.6000000000001,365854.49999999994,63.825,3
Орловская область,45.666666666666664,744497.25,13.766666666666667,23.2,24481.833333333332,38.825,6.7250000000000005,54.425,10.3,18.8,749996.6666666666,327668.98333333334,219908224.17,172458.16666666666,7076.993333333333,487.2,429806.4,99.85000000000001,3
Иркутская область,212.33333333333334,2518953.75,18.633333333333336,22.983333333333334,24346.833333333332,39.474999999999994,6.075,54.425,16.0,16.3,2404960.8333333335,549992.4,1907109637.545,141871.66666666666,31856.318333333333,2953.4,407289.30000000005,114.775,2
Забайкальский край,93.5,949385.5,21.533333333333335,22.966666666666665,23932.666666666668,37.300000000000004,7.85,54.849999999999994,13.0,17.1,1074623.0,305808.7,291741645.695,151150.83333333334,14260.666666666666,2236.4,319202.9,97.49999999999999,0
