,child_mortality,disabled_total_by_age,morbidity_age_disease_17,morbidity_age_disease_18,poverty_percent_by_regions,welfare_expense_share,cash_real_income_wages,Number of children,Pensioners,Working-age population,do not feel constrained when living,feel uncomfortable while living,experience great discomfort while living,did not answer,total area size,size of living space,number of rooms,population,gross_regional_product,regional_production,retail_turnover_per_capita,minors,group of people,criminal community,drug,alco,newborn_monthly
Белгородская область,75.66666666666667,2488511.25,306777.05000000005,56243.05,7.816666666666667,14.166666666666666,30692.5,22.049999999999997,6.175000000000001,21.775,86.3,11.7,2.0,0.0,25.1,17.8,2.6,1549563.8333333333,556907.5,1429628510.9483333,209789.66666666666,235.0,483.2,42.2,2.2750000000000004,45.825,15017.663333333336
Брянская область,72.16666666666667,1290740.5,320851.75,56237.6,13.950000000000001,23.46666666666667,26015.5,41.375,3.875,54.775,94.7,4.6,0.6,0.0,30.5,24.1,3.2,1213811.8333333333,290776.2,404890068.0366667,201839.66666666666,265.0,567.4,13.6,9.174999999999999,96.2,11605.164999999999
Владимирская область,78.16666666666667,1514510.75,387115.44999999995,64145.35,13.450000000000001,22.150000000000002,23908.333333333332,38.324999999999996,6.625,55.050000000000004,81.8,15.8,2.5,0.0,24.2,16.1,2.2,1382489.6666666667,342093.76666666666,838294640.64,158931.5,468.6,824.0,3.0,13.174999999999999,72.3,13212.833333333334
Воронежская область,100.66666666666667,2604589.25,208288.8,42864.649999999994,9.033333333333333,19.150000000000002,30422.833333333332,36.225,5.4,58.400000000000006,87.0,11.4,1.6,0.1,29.0,19.9,2.6,2330971.0,395526.2666666666,976879236.2983333,228334.16666666666,582.2,1040.6,14.2,22.95,88.94999999999999,22245.161666666667
Ивановская область,44.666666666666664,947896.75,392177.4,55821.35,14.633333333333335,25.483333333333334,24567.833333333332,39.85,7.6,52.55,76.9,19.1,3.9,0.0,25.2,18.1,2.4,1017646.3333333334,222908.75,307271470.41333336,160505.16666666666,337.0,486.0,1.2,5.8999999999999995,87.975,9578.333333333334
Калужская область,59.833333333333336,925322.0,294590.2,52905.6,10.233333333333334,17.383333333333336,29652.333333333332,36.125,12.575,51.275000000000006,79.9,16.8,3.3,0.0,22.6,15.5,2.2,1009823.1666666666,465697.81666666665,1310589043.7,191025.33333333334,385.0,769.8,7.6,9.325,65.22500000000001,10727.666666666666
Костромская область,48.0,725327.0,327473.15,46019.55,13.199999999999998,19.23333333333333,23997.833333333332,42.4,5.425000000000001,52.15,80.7,15.6,3.7,0.0,21.7,14.5,2.2,644662.1666666666,287872.39999999997,281825875.87666667,156000.33333333334,251.4,502.2,4.2,8.85,72.47500000000001,6716.494999999999
Курская область,56.0,1431220.0,236019.9,33102.55,10.15,21.26666666666667,27167.833333333332,38.099999999999994,7.025,54.875,85.0,13.3,1.7,0.0,24.4,17.1,2.4,1114429.3333333333,390518.3666666667,559707067.8416667,185318.33333333334,343.8,669.8,21.6,6.875000000000001,73.675,10817.5
Липецкая область,56.666666666666664,1424661.25,227987.75,55516.7,8.833333333333334,20.216666666666665,29782.0,39.45,5.7,54.875,82.5,13.5,4.0,0.0,24.5,16.5,2.5,1150631.0,474522.5833333333,1188892379.015,214910.33333333334,286.0,407.0,19.2,7.425,78.375,11376.664999999999
Московская область,356.5,5058949.25,284645.0,51174.34999999999,7.566666666666666,18.433333333333334,43506.333333333336,45.05,7.6499999999999995,47.275,77.8,17.3,4.4,0.5,22.3,14.8,2.1,7461180.0,592078.5166666667,5011042730.245,295481.8333333333,844.0,3357.2,26.2,13.749999999999998,45.275000000000006,86027.48333333332
